Epoch,Loss,Sup Loss,Unsup Loss,SAT Loss,FG Acc,Precision,Recall,F1,Dice,HD
1,-2.86 ± 0.41,1.39 ± 0.22,0.23 ± 0.15,-8.49 ± 0.65,0.67 ± 0.17,0.47 ± 0.10,0.82 ± 0.16,0.59 ± 0.11,0.70 ± 0.07,136.88 ± 20.48
2,-3.36 ± 0.33,0.91 ± 0.14,0.46 ± 0.01,-8.77 ± 0.52,0.87 ± 0.04,0.57 ± 0.10,0.96 ± 0.02,0.71 ± 0.08,0.79 ± 0.04,98.11 ± 19.22
3,-3.56 ± 0.25,0.67 ± 0.14,0.39 ± 0.02,-8.89 ± 0.41,0.91 ± 0.03,0.64 ± 0.11,0.98 ± 0.01,0.76 ± 0.08,0.84 ± 0.04,82.42 ± 17.41
4,-3.69 ± 0.23,0.52 ± 0.09,0.33 ± 0.02,-9.07 ± 0.41,0.93 ± 0.02,0.72 ± 0.07,0.97 ± 0.02,0.82 ± 0.05,0.89 ± 0.02,71.06 ± 22.18
5,-3.78 ± 0.19,0.42 ± 0.09,0.28 ± 0.02,-9.27 ± 0.35,0.93 ± 0.02,0.77 ± 0.08,0.97 ± 0.02,0.85 ± 0.05,0.91 ± 0.02,65.15 ± 21.14
6,-3.70 ± 0.29,0.39 ± 0.10,0.24 ± 0.02,-9.22 ± 0.49,0.93 ± 0.03,0.79 ± 0.09,0.97 ± 0.02,0.87 ± 0.05,0.92 ± 0.02,62.92 ± 24.27
7,-3.65 ± 0.21,0.33 ± 0.07,0.22 ± 0.02,-9.20 ± 0.44,0.94 ± 0.02,0.82 ± 0.08,0.97 ± 0.02,0.89 ± 0.04,0.94 ± 0.02,56.70 ± 23.13
8,-3.66 ± 0.16,0.30 ± 0.06,0.20 ± 0.01,-9.36 ± 0.35,0.94 ± 0.02,0.84 ± 0.06,0.98 ± 0.02,0.90 ± 0.03,0.94 ± 0.01,53.25 ± 18.84
9,-3.63 ± 0.14,0.28 ± 0.07,0.18 ± 0.02,-9.48 ± 0.27,0.95 ± 0.01,0.84 ± 0.06,0.98 ± 0.01,0.90 ± 0.03,0.95 ± 0.01,51.76 ± 18.34
10,-3.57 ± 0.13,0.25 ± 0.05,0.17 ± 0.01,-9.51 ± 0.25,0.95 ± 0.02,0.86 ± 0.05,0.97 ± 0.02,0.91 ± 0.02,0.95 ± 0.01,49.14 ± 12.90
11,-3.50 ± 0.15,0.25 ± 0.06,0.16 ± 0.02,-9.57 ± 0.26,0.95 ± 0.02,0.86 ± 0.05,0.98 ± 0.02,0.91 ± 0.03,0.95 ± 0.01,49.30 ± 16.10
12,-3.43 ± 0.10,0.23 ± 0.06,0.15 ± 0.02,-9.59 ± 0.23,0.95 ± 0.02,0.87 ± 0.05,0.98 ± 0.02,0.92 ± 0.03,0.96 ± 0.01,50.54 ± 17.77
13,-3.39 ± 0.10,0.21 ± 0.05,0.14 ± 0.01,-9.65 ± 0.19,0.96 ± 0.01,0.88 ± 0.04,0.98 ± 0.01,0.93 ± 0.02,0.96 ± 0.01,46.91 ± 11.74
14,-3.28 ± 0.11,0.22 ± 0.06,0.13 ± 0.01,-9.62 ± 0.22,0.95 ± 0.02,0.88 ± 0.05,0.98 ± 0.02,0.92 ± 0.03,0.96 ± 0.01,47.65 ± 14.76
15,-3.23 ± 0.09,0.20 ± 0.05,0.12 ± 0.01,-9.70 ± 0.16,0.96 ± 0.02,0.89 ± 0.04,0.98 ± 0.01,0.93 ± 0.02,0.96 ± 0.01,46.93 ± 13.05
16,-3.13 ± 0.12,0.18 ± 0.05,0.12 ± 0.02,-9.64 ± 0.30,0.96 ± 0.01,0.90 ± 0.04,0.98 ± 0.01,0.94 ± 0.02,0.97 ± 0.01,46.03 ± 15.72
17,-3.04 ± 0.11,0.18 ± 0.04,0.12 ± 0.01,-9.64 ± 0.28,0.96 ± 0.01,0.90 ± 0.03,0.98 ± 0.01,0.94 ± 0.02,0.97 ± 0.01,46.96 ± 16.00
18,-3.00 ± 0.05,0.16 ± 0.04,0.11 ± 0.01,-9.75 ± 0.11,0.97 ± 0.02,0.90 ± 0.04,0.98 ± 0.01,0.94 ± 0.02,0.97 ± 0.01,47.13 ± 15.53
19,-2.88 ± 0.12,0.16 ± 0.04,0.11 ± 0.01,-9.65 ± 0.33,0.97 ± 0.01,0.91 ± 0.03,0.98 ± 0.01,0.94 ± 0.02,0.97 ± 0.01,45.19 ± 15.83
20,-2.79 ± 0.09,0.15 ± 0.04,0.10 ± 0.01,-9.65 ± 0.27,0.97 ± 0.01,0.91 ± 0.04,0.98 ± 0.01,0.95 ± 0.02,0.97 ± 0.01,45.55 ± 16.34
21,-2.69 ± 0.10,0.15 ± 0.03,0.10 ± 0.01,-9.61 ± 0.33,0.97 ± 0.01,0.91 ± 0.03,0.98 ± 0.01,0.95 ± 0.01,0.97 ± 0.01,45.01 ± 15.62
22,-2.64 ± 0.06,0.14 ± 0.03,0.10 ± 0.01,-9.73 ± 0.21,0.97 ± 0.01,0.91 ± 0.03,0.99 ± 0.01,0.95 ± 0.01,0.97 ± 0.01,45.08 ± 14.83
23,-2.53 ± 0.06,0.15 ± 0.03,0.10 ± 0.01,-9.73 ± 0.19,0.97 ± 0.01,0.92 ± 0.02,0.98 ± 0.01,0.95 ± 0.01,0.97 ± 0.01,45.98 ± 12.51
24,-2.45 ± 0.04,0.14 ± 0.03,0.10 ± 0.01,-9.78 ± 0.11,0.97 ± 0.01,0.92 ± 0.03,0.98 ± 0.01,0.95 ± 0.02,0.97 ± 0.01,44.74 ± 10.95
25,-2.36 ± 0.06,0.14 ± 0.04,0.09 ± 0.01,-9.76 ± 0.13,0.97 ± 0.01,0.93 ± 0.02,0.98 ± 0.01,0.96 ± 0.01,0.98 ± 0.01,44.88 ± 13.88
26,-2.27 ± 0.04,0.13 ± 0.03,0.09 ± 0.01,-9.79 ± 0.14,0.97 ± 0.01,0.92 ± 0.02,0.99 ± 0.01,0.95 ± 0.01,0.97 ± 0.01,45.59 ± 12.34
27,-2.16 ± 0.05,0.14 ± 0.03,0.09 ± 0.01,-9.77 ± 0.14,0.97 ± 0.01,0.92 ± 0.03,0.99 ± 0.01,0.95 ± 0.01,0.97 ± 0.01,45.22 ± 13.41
28,-2.08 ± 0.04,0.12 ± 0.02,0.09 ± 0.01,-9.74 ± 0.16,0.97 ± 0.01,0.93 ± 0.02,0.98 ± 0.01,0.96 ± 0.01,0.98 ± 0.01,44.67 ± 13.62
29,-2.00 ± 0.03,0.12 ± 0.02,0.08 ± 0.01,-9.82 ± 0.07,0.97 ± 0.01,0.93 ± 0.02,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.01,44.82 ± 11.73
30,-1.90 ± 0.03,0.12 ± 0.02,0.09 ± 0.01,-9.81 ± 0.08,0.97 ± 0.01,0.92 ± 0.02,0.99 ± 0.01,0.95 ± 0.01,0.98 ± 0.01,44.40 ± 13.81
31,-1.80 ± 0.04,0.11 ± 0.02,0.08 ± 0.01,-9.77 ± 0.17,0.98 ± 0.01,0.93 ± 0.02,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.00,44.92 ± 14.65
32,-1.71 ± 0.02,0.11 ± 0.02,0.08 ± 0.01,-9.80 ± 0.09,0.98 ± 0.01,0.93 ± 0.02,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.00,44.12 ± 13.56
33,-1.62 ± 0.03,0.11 ± 0.02,0.08 ± 0.01,-9.83 ± 0.10,0.98 ± 0.01,0.93 ± 0.02,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.00,44.38 ± 15.74
34,-1.52 ± 0.03,0.11 ± 0.02,0.08 ± 0.01,-9.82 ± 0.11,0.98 ± 0.01,0.93 ± 0.02,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.01,45.07 ± 12.26
35,-1.41 ± 0.03,0.11 ± 0.02,0.08 ± 0.01,-9.75 ± 0.18,0.98 ± 0.01,0.93 ± 0.02,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.00,44.37 ± 13.77
36,-1.33 ± 0.02,0.11 ± 0.02,0.08 ± 0.01,-9.83 ± 0.06,0.98 ± 0.01,0.94 ± 0.02,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.00,44.09 ± 11.93
37,-1.23 ± 0.02,0.10 ± 0.01,0.08 ± 0.01,-9.80 ± 0.11,0.98 ± 0.01,0.94 ± 0.02,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.00,44.22 ± 13.23
38,-1.13 ± 0.03,0.11 ± 0.03,0.08 ± 0.01,-9.81 ± 0.09,0.98 ± 0.01,0.93 ± 0.03,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.00,45.06 ± 15.29
39,-1.04 ± 0.03,0.10 ± 0.02,0.07 ± 0.01,-9.79 ± 0.20,0.98 ± 0.01,0.93 ± 0.02,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.00,44.73 ± 16.29
40,-0.93 ± 0.03,0.10 ± 0.01,0.08 ± 0.01,-9.72 ± 0.19,0.98 ± 0.01,0.94 ± 0.02,0.99 ± 0.00,0.96 ± 0.01,0.98 ± 0.00,44.37 ± 14.54
41,-0.85 ± 0.02,0.10 ± 0.02,0.07 ± 0.01,-9.80 ± 0.12,0.98 ± 0.01,0.94 ± 0.01,0.99 ± 0.00,0.96 ± 0.01,0.98 ± 0.00,45.14 ± 13.35
42,-0.75 ± 0.02,0.10 ± 0.02,0.07 ± 0.01,-9.81 ± 0.12,0.98 ± 0.01,0.94 ± 0.02,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.00,44.42 ± 14.35
43,-0.66 ± 0.01,0.09 ± 0.01,0.07 ± 0.01,-9.81 ± 0.10,0.98 ± 0.01,0.94 ± 0.02,0.99 ± 0.00,0.97 ± 0.01,0.98 ± 0.00,44.71 ± 14.38
44,-0.56 ± 0.02,0.09 ± 0.01,0.07 ± 0.01,-9.82 ± 0.10,0.98 ± 0.01,0.94 ± 0.02,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.00,44.75 ± 12.07
45,-0.46 ± 0.02,0.09 ± 0.02,0.07 ± 0.01,-9.80 ± 0.14,0.98 ± 0.01,0.94 ± 0.02,0.99 ± 0.01,0.96 ± 0.01,0.98 ± 0.00,43.92 ± 10.16
46,-0.36 ± 0.02,0.09 ± 0.01,0.07 ± 0.01,-9.81 ± 0.15,0.98 ± 0.01,0.94 ± 0.01,0.99 ± 0.01,0.97 ± 0.01,0.98 ± 0.00,43.53 ± 14.08
47,-0.26 ± 0.02,0.09 ± 0.01,0.07 ± 0.01,-9.82 ± 0.11,0.98 ± 0.01,0.94 ± 0.02,0.99 ± 0.00,0.96 ± 0.01,0.98 ± 0.00,44.38 ± 11.29
